id	provided_identifier
1672231	oai:orbis.library.yale.edu:580631
1672232	oai:orbis.library.yale.edu:580635
1672233	oai:orbis.library.yale.edu:580639
1672234	oai:orbis.library.yale.edu:580647
1672235	oai:orbis.library.yale.edu:580655
1672236	oai:orbis.library.yale.edu:580674
1672237	oai:orbis.library.yale.edu:580677
1672238	oai:orbis.library.yale.edu:580689
1672239	oai:orbis.library.yale.edu:580700
1672240	oai:orbis.library.yale.edu:580702
1672241	oai:orbis.library.yale.edu:580705
1672242	oai:orbis.library.yale.edu:580755
1672243	oai:orbis.library.yale.edu:580758
1672244	oai:orbis.library.yale.edu:580759
1672245	oai:orbis.library.yale.edu:580761
1672246	oai:orbis.library.yale.edu:580790
1672247	oai:orbis.library.yale.edu:580823
1672248	oai:orbis.library.yale.edu:580824
1672249	oai:orbis.library.yale.edu:580841
1672250	oai:orbis.library.yale.edu:580852
1672251	oai:orbis.library.yale.edu:580853
1672252	oai:orbis.library.yale.edu:580885
1672253	oai:orbis.library.yale.edu:580888
1672254	oai:orbis.library.yale.edu:580902
1672255	oai:orbis.library.yale.edu:580907
1672256	oai:orbis.library.yale.edu:580922
1672257	oai:orbis.library.yale.edu:580966
1672258	oai:orbis.library.yale.edu:581030
1672259	oai:orbis.library.yale.edu:581048
1672260	oai:orbis.library.yale.edu:581049
1672261	oai:orbis.library.yale.edu:581056
1672262	oai:orbis.library.yale.edu:581062
1672263	oai:orbis.library.yale.edu:581095
1672264	oai:orbis.library.yale.edu:581124
1672265	oai:orbis.library.yale.edu:581137
1672266	oai:orbis.library.yale.edu:581177
1672267	oai:orbis.library.yale.edu:581188
1672268	oai:orbis.library.yale.edu:581215
1672269	oai:orbis.library.yale.edu:581224
1672270	oai:orbis.library.yale.edu:581244
1672271	oai:orbis.library.yale.edu:581252
1672272	oai:orbis.library.yale.edu:581308
1672273	oai:orbis.library.yale.edu:581316
1672274	oai:orbis.library.yale.edu:581342
1672275	oai:orbis.library.yale.edu:581347
1672276	oai:orbis.library.yale.edu:581350
1672277	oai:orbis.library.yale.edu:581351
1672278	oai:orbis.library.yale.edu:581369
1672279	oai:orbis.library.yale.edu:581374
1672280	oai:orbis.library.yale.edu:581388
1672281	oai:orbis.library.yale.edu:581407
1672282	oai:orbis.library.yale.edu:581410
1672283	oai:orbis.library.yale.edu:581417
1672284	oai:orbis.library.yale.edu:581446
1672285	oai:orbis.library.yale.edu:581475
1672286	oai:orbis.library.yale.edu:581482
1672287	oai:orbis.library.yale.edu:581507
1672288	oai:orbis.library.yale.edu:581517
1672289	oai:orbis.library.yale.edu:581521
1672290	oai:orbis.library.yale.edu:581525
1672291	oai:orbis.library.yale.edu:581538
1672292	oai:orbis.library.yale.edu:581552
1672293	oai:orbis.library.yale.edu:581561
1672294	oai:orbis.library.yale.edu:581562
1672295	oai:orbis.library.yale.edu:581582
1672296	oai:orbis.library.yale.edu:581631
1672297	oai:orbis.library.yale.edu:581642
1672298	oai:orbis.library.yale.edu:581646
1672299	oai:orbis.library.yale.edu:581648
1672300	oai:orbis.library.yale.edu:581652
1672301	oai:orbis.library.yale.edu:581674
1672302	oai:orbis.library.yale.edu:581701
1672303	oai:orbis.library.yale.edu:581751
1672304	oai:orbis.library.yale.edu:581764
1672305	oai:orbis.library.yale.edu:581771
1672306	oai:orbis.library.yale.edu:581788
1672307	oai:orbis.library.yale.edu:581789
1672308	oai:orbis.library.yale.edu:581792
1672309	oai:orbis.library.yale.edu:581816
1672310	oai:orbis.library.yale.edu:581826
1672311	oai:orbis.library.yale.edu:581831
1672312	oai:orbis.library.yale.edu:581832
1672313	oai:orbis.library.yale.edu:581863
1672314	oai:orbis.library.yale.edu:581937
1672315	oai:orbis.library.yale.edu:581968
1672316	oai:orbis.library.yale.edu:582015
1672317	oai:orbis.library.yale.edu:582016
1672318	oai:orbis.library.yale.edu:582021
1672319	oai:orbis.library.yale.edu:582024
1672320	oai:orbis.library.yale.edu:582034
1672321	oai:orbis.library.yale.edu:582046
1672322	oai:orbis.library.yale.edu:582070
1672323	oai:orbis.library.yale.edu:582084
1672324	oai:orbis.library.yale.edu:582089
1672325	oai:orbis.library.yale.edu:582154
1672326	oai:orbis.library.yale.edu:582160
1672327	oai:orbis.library.yale.edu:582171
1672328	oai:orbis.library.yale.edu:582179
1672329	oai:orbis.library.yale.edu:582185
1672330	oai:orbis.library.yale.edu:582193
1672331	oai:orbis.library.yale.edu:582218
1672332	oai:orbis.library.yale.edu:582245
1672333	oai:orbis.library.yale.edu:582255
1672334	oai:orbis.library.yale.edu:582278
1672335	oai:orbis.library.yale.edu:582307
1672336	oai:orbis.library.yale.edu:599173
1672337	oai:orbis.library.yale.edu:9533849
1672338	oai:orbis.library.yale.edu:9295437
1672340	oai:orbis.library.yale.edu:3273968
1672342	oai:orbis.library.yale.edu:3252656
1672343	oai:orbis.library.yale.edu:3267226
1672344	oai:orbis.library.yale.edu:3274086
1672345	oai:orbis.library.yale.edu:3274148
1672346	oai:orbis.library.yale.edu:3274170
1672347	oai:orbis.library.yale.edu:3274840
1672348	oai:orbis.library.yale.edu:3274850
1672349	oai:orbis.library.yale.edu:3274858
1672350	oai:orbis.library.yale.edu:3275667
1672351	oai:orbis.library.yale.edu:3275725
1672352	oai:orbis.library.yale.edu:3267710
1672353	oai:orbis.library.yale.edu:3268514
1672354	oai:orbis.library.yale.edu:3268923
1672355	oai:orbis.library.yale.edu:3269251
1672356	oai:orbis.library.yale.edu:3269314
1672357	oai:orbis.library.yale.edu:3269319
1672358	oai:orbis.library.yale.edu:3262493
1672362	oai:orbis.library.yale.edu:3270423
1672363	oai:orbis.library.yale.edu:3270436
1672364	oai:orbis.library.yale.edu:3270459
1672365	oai:orbis.library.yale.edu:3256258
1672366	oai:orbis.library.yale.edu:3249716
1672367	oai:orbis.library.yale.edu:3264175
1672368	oai:orbis.library.yale.edu:3264257
1672369	oai:orbis.library.yale.edu:3271850
1672370	oai:orbis.library.yale.edu:3271863
1672371	oai:orbis.library.yale.edu:3264840
1672373	oai:orbis.library.yale.edu:3272649
1672374	oai:orbis.library.yale.edu:3272662
1672375	oai:orbis.library.yale.edu:3272679
1672376	oai:orbis.library.yale.edu:3272692
1672377	oai:orbis.library.yale.edu:3272723
1672378	oai:orbis.library.yale.edu:3272759
1672379	oai:orbis.library.yale.edu:3265769
1672380	oai:orbis.library.yale.edu:3266515
1672381	oai:orbis.library.yale.edu:3298042
1672382	oai:orbis.library.yale.edu:3298082
1672383	oai:orbis.library.yale.edu:3298205
1672384	oai:orbis.library.yale.edu:3298260
1672385	oai:orbis.library.yale.edu:3298261
1672386	oai:orbis.library.yale.edu:3298271
1672387	oai:orbis.library.yale.edu:3305578
1672388	oai:orbis.library.yale.edu:3305684
1672389	oai:orbis.library.yale.edu:3305707
1672390	oai:orbis.library.yale.edu:3305709
1672391	oai:orbis.library.yale.edu:3305727
1672392	oai:orbis.library.yale.edu:3305745
1672393	oai:orbis.library.yale.edu:3307526
1672394	oai:orbis.library.yale.edu:3307887
1672396	oai:orbis.library.yale.edu:3276282
1672398	oai:orbis.library.yale.edu:3284776
1672399	oai:orbis.library.yale.edu:3292377
1672401	oai:orbis.library.yale.edu:3300912
1672402	oai:orbis.library.yale.edu:3300915
1672403	oai:orbis.library.yale.edu:3300919
1672404	oai:orbis.library.yale.edu:3293633
1672405	oai:orbis.library.yale.edu:3293642
1672406	oai:orbis.library.yale.edu:3294062
1672407	oai:orbis.library.yale.edu:3294070
1672408	oai:orbis.library.yale.edu:3294074
